,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
461,2018,1,Córdoba,714,101.0,714
462,2018,1,Corrientes,94,11.0,94
463,2018,1,Entre Ríos,197,48.0,197
464,2018,1,Formosa,32,0.0,32
465,2018,1,Jujuy,44,1.0,44
466,2018,1,La Pampa,83,396.0,83
467,2018,1,La Rioja,52,17.0,52
468,2018,1,Mendoza,199,1.0,201
469,2018,1,Misiones,104,0.0,104
470,2018,1,Neuquén,116,2.0,118
471,2018,1,Río Negro,110,1.0,111
472,2018,1,Salta,133,1.0,133
473,2018,1,San Juan,63,658.0,63
474,2018,1,San Luis,21,300.0,21
475,2018,1,Santa Cruz,34,435.0,34
476,2018,1,Santa Fe,680,309.0,680
477,2018,1,Santiago Del Estero,83,2.0,83
478,2018,1,Tierra Del Fuego,31,508.0,32
479,2018,1,Tucumán,168,31.0,168
480,2017,4,Buenos Aires,3,11.0,3
481,2017,4,Capital Federal,2,7.0,2
482,2017,4,Catamarca,30,10.0,30
483,2017,4,Chaco,97,12.0,97
484,2017,4,Chubut,91,2.0,93
485,2017,4,Córdoba,710,105.0,710
486,2017,4,Corrientes,94,11.0,94
487,2017,4,Entre Ríos,194,49.0,194
488,2017,4,Formosa,32,0.0,32
489,2017,4,Jujuy,44,1.0,44
490,2017,4,La Pampa,82,396.0,82
491,2017,4,La Rioja,52,17.0,52
492,2017,4,Mendoza,179,1.0,180
493,2017,4,Misiones,104,0.0,104
494,2017,4,Neuquén,115,2.0,117
495,2017,4,Río Negro,109,1.0,110
496,2017,4,Salta,133,1.0,133
497,2017,4,San Juan,58,659.0,59
498,2017,4,San Luis,15,300.0,15
499,2017,4,Santa Cruz,29,434.0,29
500,2017,4,Santa Fe,672,323.0,672
501,2017,4,Santiago Del Estero,69,2.0,69
502,2017,4,Tierra Del Fuego,28,508.0,29
503,2017,4,Tucumán,162,34.0,162
504,2017,3,Buenos Aires,3,11.0,3
505,2017,3,Capital Federal,2,7.0,2
506,2017,3,Catamarca,33,11.0,33
507,2017,3,Chaco,94,12.0,94
508,2017,3,Chubut,81,2.0,84
509,2017,3,Córdoba,697,108.0,697
510,2017,3,Corrientes,93,12.0,93
511,2017,3,Entre Ríos,185,50.0,185
512,2017,3,Formosa,32,0.0,32
513,2017,3,Jujuy,43,1.0,43
514,2017,3,La Pampa,79,410.0,80
515,2017,3,La Rioja,52,17.0,52
516,2017,3,Mendoza,191,2.0,192
517,2017,3,Misiones,100,0.0,100
518,2017,3,Neuquén,114,2.0,116
519,2017,3,Río Negro,106,1.0,107
520,2017,3,Salta,133,1.0,133
521,2017,3,San Juan,62,660.0,62
522,2017,3,San Luis,21,311.0,22
523,2017,3,Santa Cruz,33,468.0,34
524,2017,3,Santa Fe,662,256.0,662
525,2017,3,Santiago Del Estero,83,2.0,83
526,2017,3,Tierra Del Fuego,31,583.0,31
527,2017,3,Tucumán,161,33.0,161
528,2017,2,Buenos Aires,3,11.0,3
529,2017,2,Capital Federal,2,8.0,2
530,2017,2,Catamarca,27,13.0,27
531,2017,2,Chaco,91,14.0,91
532,2017,2,Chubut,62,2.0,64
533,2017,2,Córdoba,658,133.0,658
534,2017,2,Corrientes,90,12.0,90
535,2017,2,Entre Ríos,183,57.0,183
536,2017,2,Formosa,30,0.0,30
537,2017,2,Jujuy,43,1.0,43
538,2017,2,La Pampa,73,449.0,73
539,2017,2,La Rioja,16,18.0,16
540,2017,2,Mendoza,169,1.0,171
541,2017,2,Misiones,100,0.0,100
542,2017,2,Neuquén,115,2.0,117
543,2017,2,Río Negro,101,998.0,102
544,2017,2,Salta,109,1.0,109
545,2017,2,San Juan,51,620.0,52
546,2017,2,San Luis,13,315.0,13
547,2017,2,Santa Cruz,26,369.0,26
548,2017,2,Santa Fe,567,362.0,567
549,2017,2,Santiago Del Estero,33,2.0,33
550,2017,2,Tierra Del Fuego,32,619.0,33
551,2017,2,Tucumán,154,37.0,154
552,2017,1,Buenos Aires,3,11.0,3
553,2017,1,Capital Federal,1,8.0,1
554,2017,1,Catamarca,26,13.0,26
555,2017,1,Chaco,89,14.0,89
556,2017,1,Chubut,62,2.0,64
557,2017,1,Córdoba,641,133.0,641
558,2017,1,Corrientes,89,12.0,89
559,2017,1,Entre Ríos,180,57.0,180
560,2017,1,Formosa,30,0.0,30
561,2017,1,Jujuy,43,1.0,43
562,2017,1,La Pampa,71,455.0,72
563,2017,1,La Rioja,16,18.0,16
564,2017,1,Mendoza,169,1.0,171
565,2017,1,Misiones,98,0.0,98
566,2017,1,Neuquén,113,2.0,115
567,2017,1,Río Negro,100,1.0,101
568,2017,1,Salta,108,1.0,108
569,2017,1,San Juan,51,620.0,52
570,2017,1,San Luis,13,315.0,13
571,2017,1,Santa Cruz,26,370.0,26
572,2017,1,Santa Fe,563,362.0,563
573,2017,1,Santiago Del Estero,34,2.0,34
574,2017,1,Tierra Del Fuego,32,619.0,33
575,2017,1,Tucumán,153,37.0,153
576,2016,4,Buenos Aires,3,11.0,3
577,2016,4,Capital Federal,1,8.0,1
578,2016,4,Catamarca,27,13.0,27
579,2016,4,Chaco,89,14.0,89
580,2016,4,Chubut,62,2.0,64
581,2016,4,Córdoba,636,133.0,637
582,2016,4,Corrientes,88,12.0,88
583,2016,4,Entre Ríos,180,57.0,180
584,2016,4,Formosa,30,0.0,30
585,2016,4,Jujuy,43,1.0,43
586,2016,4,La Pampa,71,460.0,72
587,2016,4,La Rioja,16,18.0,16
588,2016,4,Mendoza,169,1.0,171
589,2016,4,Misiones,97,0.0,97
590,2016,4,Neuquén,112,2.0,114
591,2016,4,Río Negro,100,1.0,101
592,2016,4,Salta,107,1.0,107
593,2016,4,San Juan,51,620.0,52
594,2016,4,San Luis,13,315.0,13
595,2016,4,Santa Cruz,26,370.0,26
596,2016,4,Santa Fe,561,362.0,562
597,2016,4,Santiago Del Estero,35,2.0,35
598,2016,4,Tierra Del Fuego,32,619.0,33
599,2016,4,Tucumán,152,37.0,152
600,2016,3,Buenos Aires,3,11.0,3
601,2016,3,Capital Federal,1,8.0,1
602,2016,3,Catamarca,27,13.0,27
603,2016,3,Chaco,89,14.0,89
604,2016,3,Chubut,62,2.0,64
605,2016,3,Córdoba,642,133.0,643
606,2016,3,Corrientes,88,12.0,88
607,2016,3,Entre Ríos,181,57.0,181
608,2016,3,Formosa,28,0.0,28
609,2016,3,Jujuy,43,1.0,43
610,2016,3,La Pampa,70,461.0,70
611,2016,3,La Rioja,17,18.0,17
612,2016,3,Mendoza,169,1.0,171
613,2016,3,Misiones,98,0.0,98
614,2016,3,Neuquén,110,2.0,113
615,2016,3,Río Negro,100,1.0,101
616,2016,3,Salta,108,1.0,108
617,2016,3,San Juan,51,620.0,52
618,2016,3,San Luis,13,315.0,13
619,2016,3,Santa Cruz,26,371.0,26
620,2016,3,Santa Fe,567,386.0,567
621,2016,3,Santiago Del Estero,36,2.0,36
622,2016,3,Tierra Del Fuego,31,619.0,32
623,2016,3,Tucumán,151,37.0,151
624,2016,2,Buenos Aires,3,13.0,3
625,2016,2,Capital Federal,1,10.0,1
626,2016,2,Catamarca,27,13.0,27
627,2016,2,Chaco,88,16.0,88
628,2016,2,Chubut,62,2.0,64
629,2016,2,Córdoba,635,234.0,635
630,2016,2,Corrientes,87,24.0,87
631,2016,2,Entre Ríos,178,179.0,178
632,2016,2,Formosa,29,1.0,29
633,2016,2,Jujuy,41,2.0,41
634,2016,2,La Pampa,68,485.0,69
635,2016,2,La Rioja,17,18.0,17
636,2016,2,Mendoza,169,2.0,171
637,2016,2,Misiones,96,7.0,96
638,2016,2,Neuquén,108,2.0,111
639,2016,2,Río Negro,100,1.0,101
640,2016,2,Salta,105,3.0,105
641,2016,2,San Juan,51,621.0,52
642,2016,2,San Luis,13,317.0,13
643,2016,2,Santa Cruz,26,356.0,26
644,2016,2,Santa Fe,564,607.0,564
645,2016,2,Santiago Del Estero,37,3.0,37
