,Año,Trimestre,Provincia,Hasta 512 kbps,Entre 1 Mbps y 6 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Entre 512 Kbps y 1 Mbps,Entre 6 Mbps y 10 Mbps,Más de 30 Mbps,Otros
220,2020.0,1.0,Chaco,419.0,1535.958,29.851,10.416,2.634,835.16,522.733,6.917
221,2020.0,1.0,Chubut,158.0,469.359,903.859,1.24,935.0,201.768,613.0,4.5
222,2020.0,1.0,Córdoba,142.0,230.613,121.801,67.739,18.717,120.188,315.976,9.802
223,2020.0,1.0,Corrientes,72.0,1704.106,1018.686,7.351000000000001,6.222,535.867,655.373,4.78
224,2020.0,1.0,Entre Ríos,130.0,68.22800000000001,41.12500000000001,11.988,8.133,890.288,421.63,13.762
225,2020.0,1.0,Formosa,18.11,43.925,1644.924,964.0,192.965,8.498000000000001,5.542,100.0
226,2020.0,1.0,Jujuy,55.0,834.347,732.986,166.0,7.146,9.979,6.315,16.545
227,2020.0,1.0,La Pampa,293.0,70.34100000000001,820.211,1342.0,315.897,14.192,6.029999999999999,1.618
228,2020.0,1.0,La Rioja,21.0,36.569,494.15,22.0,641.0,5.158,120.0,0.0
229,2020.0,1.0,Mendoza,58.0,490.393,17.489,486.386,10.696,1398.897,77.978,0.0
230,2020.0,1.0,Misiones,71.0,951.885,26.433,11.581,3.342,27.265,145.426,10.885
231,2020.0,1.0,Neuquén,218.0,281.45,536.593,183.229,807.0,186.076,35.321,0.0
232,2020.0,1.0,Río Negro,114.0,1219.3100000000002,29.835,116.113,1.158,285.647,32.784,17.719
233,2020.0,1.0,Salta,129.0,1153.218,80.928,765.867,3.714,104.673,27.702,6.441
234,2020.0,1.0,San Juan,48.0,1174.168,59.234,40.0,697.0,112.483,80.0,4.779
235,2020.0,1.0,San Luis,105.0,1728.217,525.0,63.255,386.0,161.007,0.0,36.075
236,2020.0,1.0,Santa Cruz,67.0,22.044,183.99,529.0,5.414,319.678,108.0,0.0
237,2020.0,1.0,Santa Fe,696.0,647.0910000000001,243.421,48.456,18.011,196.826,675.333,17.656
238,2020.0,1.0,Santiago Del Estero,133.0,1035.307,775.964,135.0,909.646,908.032,13.517,4.501
239,2020.0,1.0,Tierra Del Fuego,11.0,973.921,276.559,196.0,104.0,20.009,518.0,7.046
240,2020.0,1.0,Tucumán,52.0,228.722,214.912,1.73,3.747,366.067,39.947,0.0
241,2020.0,2.0,Buenos Aires,662.9159999999999,1516.085,371.993,1136.081,59.342,733.843,0.0,21.233
242,2020.0,2.0,Capital Federal,264.0,625.521,89.848,81.165,20.785,131.548,744.968,687.0
243,2020.0,2.0,Catamarca,63.0,321.757,663.588,426.0,730.0,34.664,10.217,3.176
244,2020.0,2.0,Chaco,419.0,2160.529,992.08,12.082,3.497,836.324,25.044,6.969
245,2020.0,2.0,Chubut,158.0,618.2080000000001,11.536,233.241,929.0,210.999,613.0,3.999
246,2020.0,2.0,Córdoba,168.0,232.84,170.449,66.221,17.541,125.932,334.533,8.971
247,2020.0,2.0,Corrientes,72.0,994.863,893.975,7.898,6.938,537.33,16.463,5.02
248,2020.0,2.0,Entre Ríos,130.0,880.993,44.088,12.856,7.625,893.796,34.828,14.569
249,2020.0,2.0,Formosa,391.0,21.804,1515.488,961.0,1.881,9.107,5.792,1.313
250,2020.0,2.0,Jujuy,55.0,756.8820000000001,691.164,209.0,7.114,10.519,8.029,16.557
251,2020.0,2.0,La Pampa,293.0,68.82499999999999,66.737,313.345,315.89,14.524,3.377,1.123
252,2020.0,2.0,La Rioja,21.0,37.674,540.15,73.0,701.0,5.661,1.976,2.0
253,2020.0,2.0,Mendoza,58.0,154.615,35.274,825.435,10.655,1017.433,73.145,2.45
254,2020.0,2.0,Misiones,71.0,484.592,26.445,12.305,4.35,536.206,50.966,8.646
255,2020.0,2.0,Neuquén,218.0,324.431,556.075,183.126,803.0,299.809,40.326,0.0
256,2020.0,2.0,Río Negro,114.0,1221.002,1002.502,114.162,1.129,272.066,33.467,17.057
257,2020.0,2.0,Salta,129.0,1558.614,70.935,715.033,7.176,105.422,31.07,6.531
