,Año,Trimestre,Provincia,Tecnologia,Conexiones,Zona,Penetracion cada 100 hab,Penetracion cada 100 hogares
238,2020,3,Tierra Del Fuego,ADSL,13000,Sur,6.84,27.36
239,2020,3,Tucumán,ADSL,150000,Noroeste,6.1,24.4
240,2020,2,Buenos Aires,ADSL,661000,Centro,3.76,15.04
241,2020,2,Capital Federal,ADSL,179000,Centro,5.74,22.96
242,2020,2,Catamarca,ADSL,27000,Noroeste,6.82,27.28
243,2020,2,Chaco,ADSL,47000,Noreste,4.12,16.48
244,2020,2,Chubut,ADSL,46000,Sur,7.63,30.52
245,2020,2,Córdoba,ADSL,283000,Centro,8.56,34.24
246,2020,2,Corrientes,ADSL,51000,Noreste,4.26,17.04
247,2020,2,Entre Ríos,ADSL,89000,Centro,6.24,24.96
248,2020,2,Formosa,ADSL,22000,Noreste,4.15,16.6
249,2020,2,Jujuy,ADSL,33000,Noroeste,4.14,16.56
250,2020,2,La Pampa,ADSL,9000,Oeste,2.46,9.84
251,2020,2,La Rioja,ADSL,17000,Oeste,5.4,21.6
252,2020,2,Mendoza,ADSL,92000,Oeste,5.28,21.12
253,2020,2,Misiones,ADSL,51000,Noreste,3.98,15.92
254,2020,2,Neuquén,ADSL,30000,Sur,4.13,16.52
255,2020,2,Río Negro,ADSL,50000,Sur,6.56,26.24
256,2020,2,Salta,ADSL,60000,Noroeste,4.17,16.68
257,2020,2,San Juan,ADSL,40000,Oeste,4.89,19.56
258,2020,2,San Luis,ADSL,8000,Oeste,1.48,5.92
259,2020,2,Santa Cruz,ADSL,13000,Sur,3.9,15.6
260,2020,2,Santa Fe,ADSL,300000,Centro,8.82,35.28
261,2020,2,Santiago Del Estero,ADSL,26000,Noreste,2.47,9.88
262,2020,2,Tierra Del Fuego,ADSL,13000,Sur,6.84,27.36
263,2020,2,Tucumán,ADSL,150000,Noroeste,6.1,24.4
264,2020,1,Buenos Aires,ADSL,673000,Centro,3.83,15.32
265,2020,1,Capital Federal,ADSL,184000,Centro,5.9,23.6
266,2020,1,Catamarca,ADSL,22000,Noroeste,5.56,22.24
267,2020,1,Chaco,ADSL,46000,Noreste,4.04,16.16
268,2020,1,Chubut,ADSL,46000,Sur,7.63,30.52
269,2020,1,Córdoba,ADSL,286000,Centro,8.65,34.6
270,2020,1,Corrientes,ADSL,51000,Noreste,4.26,17.04
271,2020,1,Entre Ríos,ADSL,90000,Centro,6.31,25.24
272,2020,1,Formosa,ADSL,21000,Noreste,3.96,15.84
273,2020,1,Jujuy,ADSL,32000,Noroeste,4.02,16.08
274,2020,1,La Pampa,ADSL,9000,Oeste,2.46,9.84
275,2020,1,La Rioja,ADSL,13000,Oeste,4.13,16.52
276,2020,1,Mendoza,ADSL,92000,Oeste,5.28,21.12
277,2020,1,Misiones,ADSL,51000,Noreste,3.98,15.92
278,2020,1,Neuquén,ADSL,29000,Sur,3.99,15.96
279,2020,1,Río Negro,ADSL,48000,Sur,6.3,25.2
280,2020,1,Salta,ADSL,60000,Noroeste,4.17,16.68
281,2020,1,San Juan,ADSL,40000,Oeste,4.89,19.56
282,2020,1,San Luis,ADSL,8000,Oeste,1.48,5.92
283,2020,1,Santa Cruz,ADSL,13000,Sur,3.9,15.6
284,2020,1,Santa Fe,ADSL,302000,Centro,8.88,35.52
285,2020,1,Santiago Del Estero,ADSL,25000,Noreste,2.37,9.48
286,2020,1,Tierra Del Fuego,ADSL,13000,Sur,6.84,27.36
287,2020,1,Tucumán,ADSL,143000,Noroeste,5.81,23.24
288,2019,4,Buenos Aires,ADSL,720000,Centro,4.1,16.4
289,2019,4,Capital Federal,ADSL,197000,Centro,6.31,25.24
290,2019,4,Catamarca,ADSL,23000,Noroeste,5.81,23.24
291,2019,4,Chaco,ADSL,49000,Noreste,4.3,17.2
292,2019,4,Chubut,ADSL,47000,Sur,7.79,31.16
293,2019,4,Córdoba,ADSL,297000,Centro,8.98,35.92
294,2019,4,Corrientes,ADSL,53000,Noreste,4.43,17.72
295,2019,4,Entre Ríos,ADSL,93000,Centro,6.52,26.08
296,2019,4,Formosa,ADSL,22000,Noreste,4.15,16.6
297,2019,4,Jujuy,ADSL,33000,Noroeste,4.14,16.56
298,2019,4,La Pampa,ADSL,15000,Oeste,4.1,16.4
299,2019,4,La Rioja,ADSL,14000,Oeste,4.44,17.76
300,2019,4,Mendoza,ADSL,97000,Oeste,5.57,22.28
301,2019,4,Misiones,ADSL,53000,Noreste,4.14,16.56
302,2019,4,Neuquén,ADSL,30000,Sur,4.13,16.52
